Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ECU,248,Ecuador,Inflation,Food Consumer Price Inflation,3.3,6.5,11.1,20.3,32.4,18.6,9.5,15.6,10.3,10,11,11.1,17.1,77.9,37,30.7,23.2,28.7,64.3,88,47.4,48.2,54.2,41.8,24.8,21,22.2,36.1,39.64,39.05,120.82,31.71,8.2,2.42,1.38,2.7,5.68,3.25,16.84,5.89,4.83,6.73,5.81,1.78,4.52,4.21,2.54,0.5,-1.63,0.04,0.76,-0.85,4.93
EGY,469,"Egypt, Arab Rep.",Inflation,Food Consumer Price Inflation,6.8,5.4,2.8,6.8,16.9,12.2,14.8,14.3,9.6,7.5,26.7,14.2,14.5,18.5,16.6,18.4,24.5,22.6,20.6,25.4,15.9,16.6,8.6,7.4,9.3,10.3,7.6,4.1,3.9,3.8,2.5,1.1,4.2,6.7,5.87,5.05,10.15,12.96,23.97,16.03,19.87,15.49,9.21,12.42,12.29,10.67,16.66,38.66,13.3,7.08,-0.2,4.6,22.19
ESP,184,Spain,Inflation,Food Consumer Price Inflation,3.7,7.75,9.23,12.75,14.26,17.03,18.54,23.63,19.15,10.15,9.09,13.61,15.01,10.69,12.57,9.53,10.62,5.04,3.7,7.67,6.5,3.5,3.68,4.14,5.41,4.85,3.41,-0.7,1.14,1.29,2.04,5.88,4.7,4.1,3.87,3.16,4.11,3.69,5.88,-1.05,-0.84,2.05,2.33,2.79,-0.35,1.17,1.4,1.23,1.65,1.03,2.36,1.85,11.24
EST,939,Estonia,Inflation,Food Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,233,937.2,73.9,33.3,15.9,18.2,5.5,4.9,-3.79,2.4,8.27,3.04,-1.73,4.19,3.53,5.06,9.33,14.18,-4.01,3.03,9.66,3.85,4.14,0.02,-0.54,0.04,5.71,3.06,2.99,2.14,1.84,18.92
ETH,644,Ethiopia,Inflation,Food Consumer Price Inflation,15.3,-0.1,-12,12.8,8.6,4.5,41.9,16.7,17.1,18,5.2,4.6,6,0.7,11,25.3,-15.2,-6.1,7.9,6.5,5.2,41.3,11.9,1.4,10.2,12.3,-4.9,1.8,1.8,9.3,-1.1,-15.2,2.6,25.07,3.36,12.84,13.61,21.96,60.01,3.3,1.51,39.17,28.1,5.79,5.39,12.14,6.52,11.36,12.52,18.94,23.08,31.78,38.23
FIN,172,Finland,Inflation,Food Consumer Price Inflation,1.5,4.3,9.43,11.93,15.95,20.67,16.32,17.51,4.46,4.19,12.86,12.86,12.34,6.79,7.66,7.17,3.88,2.34,1.72,3.6,3.68,2.86,-0.08,-0.64,0.19,-7.91,-1.79,1.39,1.73,-0.39,1.06,4.42,2.88,0.64,0.74,0.31,1.39,2.08,8.57,2,-3.58,6.28,5.16,5.36,0.14,-1.87,-1.14,-0.91,1.91,1.21,1.15,0.57,9.99
FJI,819,Fiji,Inflation,Food Consumer Price Inflation,4.2,9.1,11.6,20.2,15.6,12.4,3.2,7.5,5.2,6,15.3,12.8,9.3,5.9,4.6,8.3,-1.8,6.1,18.4,10,8.2,1.6,-0.4,6.8,0.5,0.7,2.3,4.7,7.7,1.8,-3.2,4.1,0.5,6.2,3.8,1.7,1.8,9.7,11.5,6.7,4.1,10.58,4.32,3.53,1.92,4.77,5.99,-2.15,1.08,4.88,-2.38,6.5,5.35
FRA,132,France,Inflation,Food Consumer Price Inflation,6.3,6.03,7.71,9.85,12.51,11.48,11.1,12.76,9.05,9.22,10.41,14.08,13.25,9.48,8.31,5.39,3.38,3.15,2.36,4.3,3.14,2.79,0.37,-0.15,0.8,1.21,1.12,1.79,1.7,0.43,2.2,5.52,2.73,2.28,0.49,0.16,1.67,1.45,5.06,0.08,0.78,1.99,2.89,1.15,-0.84,0.4,0.55,1.09,1.97,2.45,2.03,0.62,6.76
GAB,646,Gabon,Inflation,Food Consumer Price Inflation,2.4,6.4,6.1,6.8,7.5,,,,,,,,,,,,5.4,-0.2,-13.3,9.1,11.6,0.4,-16.5,1.7,31,7.9,1,6.3,3,-0.6,0.5,5,0.2,1.9,-1.9,0.2,0.9,2.3,7.8,3.7,4.4,4.03,5.68,-0.42,3,2.83,-0.09,-0.72,1.85,3.1,1.67,1.35,5.25
GBR,112,United Kingdom,Inflation,Food Consumer Price Inflation,6.9,11.47,8.92,15.37,18.02,24.97,19.85,18.79,7.81,12.62,13.56,8.69,7.76,3.67,5.88,4.02,3.33,3.13,3.37,5.62,8.06,5.28,2.14,1.66,0.86,3.65,3.16,-0.17,1.03,0.25,-0.48,3.76,0.82,1.29,0.79,1.52,2.4,4.51,9.16,5.47,3.42,5.5,3.25,3.73,-0.19,-2.58,-2.38,2.25,2.08,10.93,0.72,0.3,10.35
