Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
FRA,132,France,Inflation,Energy Consumer Price Inflation,4.9,6.6,3.1,3.9,37.2,8.1,10.6,11.7,8.7,15.9,25.9,19.2,15.6,9.4,8,8.2,-12.7,-3.1,-1,4.8,4.6,4.66,3.33,3.14,2.2,2.11,2.85,1.42,0.62,0.15,1.92,1.09,1.64,2.7,2.79,4.75,4.66,2.97,4.74,-0.11,3.3,4.45,3.4,2.43,1.76,0.41,-0.11,1.6,2.38,1.74,-0.21,10.46,24.49
GAB,646,Gabon,Inflation,Energy Consumer Price Inflation,2.8,2.7,6.7,1.3,3,,,,,,,,,,,,,,,,,2.77,-1.07,-2.71,34.01,18.49,-2.23,0.82,-1.57,-0.86,0.82,1.55,1.36,1.27,-2.62,,,,,,0.3,0.51,0.51,2.22,6.83,-10.19,1.49,9.88,4.1,9.88,0.1,0.23,2.76
GBR,112,United Kingdom,Inflation,Energy Consumer Price Inflation,5.7,10.4,7.8,2.8,26.4,33.2,23.7,15.8,7.7,10.1,25,21.3,14,7.4,2.9,8.6,-2.7,-0.1,2.5,7.33,10.92,8.11,5.68,2.8,3.33,3.15,4.03,2.98,2.28,2.83,2.12,2.61,2.4,1.61,2.12,3.29,4.67,3.41,4.7,2.18,-0.36,2.71,2.72,2.35,2,1.25,1.68,2.04,1.86,2.08,0.88,9.11,46.18
GEO,915,Georgia,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,1021.1,21.6,31.4,23.1,55.3,22.2,5.7,8,0.6,6.7,2.7,26.5,13.7,10,1.72,7.11,2.58,0.77,-0.92,4.17,3.87,3.49,1.62,4.25,1.62,0.76,6.95,18.57
GHA,652,Ghana,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03,28.16,41.99,27.01,60.82,12.59,23.96,20.02,16.08,17.8,4.57,10.26,10.61,7.88,20.54,46.97,25.48,30.67,7.1,4.31,9.98,15.98,20.02,43.29
GIN,656,Guinea,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,17.7,5.4,29.5,29.1,12.3,-0.3,2.9,3.4,7.2,2.8,1.3,5.1,9,7.8,8.9,6.57,9.03,25.16,22.47,33.86,15.56,8.85,9.54,9.95,12.73,15.09,7.16,8.41,6.02,3.85,6.67,3.85,6.13,5.93,2.94
GMB,648,"Gambia, The",Inflation,Energy Consumer Price Inflation,,,,,,25.6,27.7,1.7,14.5,7.3,26.8,6.2,24.2,4.7,9.3,17.8,80.5,30.4,21.5,20.5,16.8,8,7.6,3.2,33.5,-26.8,-0.5,,,11.9,,,,15.1,22.1,0.8,,,,,,,,,4.71,2.57,3.58,4.68,5.96,5.79,3.01,5.34,
GNB,654,Guinea-Bissau,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.78,-2.77,1.76,0.13,3.85,5.48,8.89,0.02,1.2,,,,,,23.01,6,11.05,,,-0.08,23.11
GNQ,642,Equatorial Guinea,Inflation,Energy Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64,2.41,1.05,0.95,2.76,1.38,0.62,,,,1.16,1.64,3.83,3.92,4.08,3.3,19.84,-0.43,-0.31,0.75,2.06,,
GRC,174,Greece,Inflation,Energy Consumer Price Inflation,,,,,41.6,16.7,7.1,10.8,4,25.9,46.4,32.3,13,18.7,16.3,18.6,18.9,9.3,3.8,1.9,28.1,28.7,16.3,3.2,6.8,7.1,8.3,-9.5,-3.5,-8.1,6.18,1.69,3.32,4.43,4.79,8.88,6.49,3.06,8.61,-2.68,6.93,8.91,7.87,5.54,-2.29,-6.47,-3.18,2.17,0.07,-0.48,-3.77,12.31,42.89
